SIGLA;DESCRICAO;NIVEL ENSINO;CH HORA RELOGIO;CH HORA AULA;CH QTD CREDITOS;ATIVO;SIGLA QACADEMICO;OBSERVACAO
LIC.0253;Didática do Ensino das Ciências IV(90H);Graduação;90;120;6;Sim;SLIC.NC.0004;Curso 09119
LIC.0402;Didática do Texto Literário no Ensino de E/LE;Graduação;60;80;4;Sim;-;Curso 603
LIC.0650;Didática em espaços escolares e não-escolares;Graduação;90;120;6;Sim;-;-
LIC.1002;Didática Geral;Graduação;90;120;6;Sim;-;-
LIC.0018;Didática Geral e Didática para a EPT I;Graduação;45;60;3;Sim;-;Matriz 111
LIC.0019;Didática Geral e Didática para a EPT II;Graduação;45;60;3;Sim;-;Matriz 111
LIC.0988;Didática na educação profissional e tecnológica;Graduação;90;120;6;Sim;-;-
TEC.0299;Direito Administrativo;Graduação;45;60;3;Sim;SUP.018;Curso 01436X
TEC.0050;Direito Administrativo (NCT);Graduação;60;80;4;Sim;TEC.436.0006;-
ESA.0032;Direito Ambiental (60h);Graduação;60;80;4;Sim;-;-
TEC.0185;Direito Ambiental (NCT);Graduação;30;40;2;Sim;TEC.NCT.UB.0030;-
TEC.0291;Direito Constitucional;Graduação;45;60;3;Sim;SUP.003;Curso 01436X
TEC.0046;Direito Constitucional (NCT);Graduação;60;80;4;Sim;TEC.436.0002;-
TEC.0208;Direito da Cidadania;Graduação;40;53;2;Sim;DAGESC.003;502.0
TEC.0101;Direito da Cidadania (Curso 502);Graduação;45;60;3;Sim;TEC.502.0003;-
TEC.0211;Direito de Empresa;Graduação;60;80;4;Sim;DAGESC.006;502.0
TEC.0105;Direito de Empresa (Curso 502);Graduação;45;60;3;Sim;TEC.502.0007;-
TEC.0224;Direito de Navegação;Graduação;80;106;5;Sim;DAGESC.019;502.0
TEC.0110;Direito de Navegação (Curso 502);Graduação;45;60;3;Sim;TEC.502.0012;-
TEC.0596;Direito do Consumidor;Graduação;30;40;2;Sim;TEC.0069.0011;Curso 069
TEC.0523;Direito e Cidadania(30H);Graduação;30;40;2;Sim;TEC.NCT.UB.0041;Curso 06804
TEC.0212;Direito Internacional;Graduação;80;106;5;Sim;DAGESC.007;502.0
TEC.0106;Direito Internacional (Curso 502);Graduação;45;60;3;Sim;TEC.502.0008;-
TEC.1015;Direito Regulatório;Graduação;30;40;2;Sim;-;.
LIC.0780;Direitos humanos, participação política e diversidade;Graduação;30;40;2;Sim;-;Curso 710
TEC.0222;Direito Tributário;Graduação;80;106;5;Sim;DAGESC.017;502.0
TEC.0114;Direito Tributário (Curso 502);Graduação;45;60;3;Sim;TEC.502.0016;-
LIC.0661;Diversidade e educação profissional na perspectiva dos movimentos sociais no campo;Graduação;30;40;2;Sim;-;-
